reviewid,username,userimage,content,score,thumbsupcount,reviewcreatedversion,at,replycontent,repliedat
gp:AOqpTOEZKPQLQZPi6ykhh6--RJzPaHMjTiu3Qr9kiR80MIReB8aa7CVTxXbLI1nqEAiUxMTvZg6sczI91v4TFvM,Ashley M,https://play-lh.googleusercontent.com/a/AATXAJwSz2ZMgzR886F1ImEnE_tj3mYkmTanJvuuWTaR=mo,"I used to love this app until the changed the point redemption amounts. Now you need 30,000 points to redeem for anything and there are hardly any good options to choose from. Bring back the $5, $10, $15 and $20 gift cards and I'll change my review.",1,28,1.40.0,2019-10-03,nan,NaT
gp:AOqpTOHcsUQ3HWwH4F710xlTY08D9491ojBTjNt_XJI1KamWrR7U32OvPGbueM_IJKRJTeU8sS6uvfPqbbNY8_Q,4RUNNASAURUS,https://play-lh.googleusercontent.com/a-/AOh14GggiwbgA-6PTiztWW_6YzwJ8C0VuHRZ7RdSYglCig,"Cannot open the app after the update, I'd like to check if my points went through after getting the deal of being a costco member. That's 2500 points I think ----Update, support personnel updated (olive) regarding this matter. Everything has been handled and works great! 5stars",5,3,1.56.0,2020-03-30,"Hey there! We know it’s frustrating when things don’t work as they should. We’ll be happy to take a closer look at this one if you would like to reach out to us at support@joindrop.com. You can connect your request to this review by adding in your username here, which helps us make sure we have all the info. Hope you have a great day!",2020-03-06 14:40:11
gp:AOqpTOGkJWcLBzCbrOeFSKIwVelP-wgCB-iLF6XmONqnwTub4Y8kWG2mKv3VtaZSYCYalpAn5QQTXeHFBoV0TbU,Rick Lahvicka,https://play-lh.googleusercontent.com/a-/AOh14GjbD7SzGCHaAAZiJ0VOSIA1iW3GOVjuAq_mg2zh,"Always fighting for points. They seem to always be missing and it takes multiple emails and excuses from customer service as to why you dont have the points. Response: your team doesn't respond promptly and all these ""changes"" and fighting its not worth the $20 I got over years. Questionable app. Beware!!",1,9,1.65.0,2020-10-30,"Hey Rick, missing points definitely sounds like something we should look into for you! Could you please send us an email to support@joindrop.com? If you reference this review, that will help us make sure we have all the information to get started on investigating this. Hopefully we can straighten everything out in as few messages as possible! :)",2020-04-29 15:14:14
gp:AOqpTOGDdQjOlc7fRD-I5f0j4VBtwt79x_Sd_ZGZow9hbkkAUBVAeMJZKLsCj9k592y1wJhYtvXbaYevIfyZ368,Lisa Synard,https://play-lh.googleusercontent.com/a/AATXAJwg0wlvy8hv2GIZFNT2ldaV2dVH_8g16KjfPgwu=mo,I kind of like that app but the customer service is lacking. I'm missing points and could only chat with a bot. The bot couldn't help so I sent an email. It's been five days and still no response. Disappointing.,3,0,1.66.0,2020-11-02,"Hey Lisa, thank you for your review. We recognize that it has taken us longer than we'd like to respond to all of our members, we sincerely apologize for that. I've looked into your ticket and it looks like Ruben has gotten back to you! We'd love if you could update your review to better capture your recent experience with the platform! :) Thanks!",2020-11-10 15:36:16
gp:AOqpTOGComOnWdMyQ8sI-v1VihkI1m1CFl3gYkk9KgcTHOE4yViF6w39RjHduO0ff77DYeJCy0r-BjTaPRRYca0,Emily Brott,https://play-lh.googleusercontent.com/a/AATXAJwaUDJr_UM7JeDy4sAVycY0QCH31CU4NURG2zyr=mo,Since the last update it is very hard to navigate. Told me i had a superboost to play snake and now I cannot find where to go to play it. I also noticed that we only earn 1 point for each dollar spent at our 5 stores and that just sucks.,2,4,1.58.0,2020-04-25,"Hey Emily, thanks for your feedback. These sound like issues our support team could definitely help to address. Please reach out to us at support@joindrop.com and be sure to reference your review! Looking forward to hearing from you. :)",2020-04-30 17:07:17
gp:AOqpTOFyvIJjA0kBko99xJX7xtK_x0bPQiC21ejKx44r6GQv11vbxKFnUZn42CQRaX5NfLQq_tFl_sEyRfYKfFc,Sawomi Chowdhury,https://play-lh.googleusercontent.com/a-/AOh14GhJdhnUJdEaAIeYOIbO3h6n0OshlrIslxj1hTrJYQ,"Great app, I've been able to earn a lot of points just by doing my regular purchases, no additional work required. At one point I stopped earning points but the Drop Support Team was very helpful when I contacted them via email and fixed my problem in a timely manner!",4,1,1.32.0,2019-05-15,"Hey Sawomi, thanks for your great review! :)",2019-05-16 17:38:39
gp:AOqpTOHgmk7waf5_euwrn9Sab6R8pgL-r14vbHlP9rAItPwDFhCrNra21PW4cvN68Ye3bSJtz6MRtN3si1ypvM8,Laura J.,https://play-lh.googleusercontent.com/a-/AOh14GiKWPDApaZGJoRSqZiuvn3sRZl7seqPzZKWtdFebg,"Great app for additional rewards based on your shopping! Super easy to redeem (way better than my credit card rewards); however, it can be hard to remember to shop through the app though, and not being able to change your power offers on a set schedule is a touch annoying.",4,23,1.40.0,2019-10-01,nan,NaT
gp:AOqpTOEE2MEFYQs_OkPgTyFCp2GbGV7muQzLPH-mZiTeYLau6NeQH4sZLqrotV8pnMyZZGwkxFtih_OzxDmf7nI,Adzo Dabi,https://play-lh.googleusercontent.com/a/AATXAJxUzDOjseGcS-UqS75GiISTN57h1YyNjJM1jihK=mo,The worst app ever developed. Within ten minutes of creating an account I had to reinstall it 4 times to get it work. There's no explanation as to how many points are required to earn money and how much one earns. Nothing in the app opens up at all. Uninstalled for good. Total time 15 minutes,1,24,1.69.0,2020-12-28,Hey there! We know it’s frustrating when things don’t work as they should. Send us a line at support@joindrop.com and one of our support agents will guide you from there. Be sure to reference this review to help us keep track. Looking forward to hearing from you! :),2021-01-05 14:54:24
gp:AOqpTOHnBrCMwP1lzD39ydWA-NkN5AYFz1vftPYL-PC57624q6SwEmnBENZLxXWA_yyTZ0fRh2Ps5ayV8XxZjmw,Vidya Boga,https://play-lh.googleusercontent.com/a-/AOh14GjOcq9-bqZ_jjUbkfmHVjPcx8n-Y3fM7_Q8peVhFg,"I was struggling to redeem my points, even at 25K points I always get an error message and they don't have customer support to resolve your issues...it takes ages to get a customer care response via an email, overall terrible app with pathetic customer service which will ruin your efforts so better try other cash back apps..",1,1,nan,2020-08-17,nan,NaT
gp:AOqpTOGowavdvS26yfLIQUpz2_PxlgRe5XiUakmDOBRvZDLVwHsH30AcypKFi6SE6vkZAcsm5N7R-xh9UDOxRGU,Kien Ly,https://play-lh.googleusercontent.com/a-/AOh14GgEmGWLa-zvu5FW6QfO-_OonusZs3beZg-yV4lT,Nothing connects to anything. You are basically entering your financial information and passwords tl an app that cannkt function. Both capital one amd hsbc does nkt work. Not going to bother entering all my accounts just to try to see if it works. Beware of privacy issues going forward.,1,6,1.53.0,2020-02-23,"Thanks so much for sharing your feedback! While we try and want to support all financial institutions, banks that frequently have trouble linking to our platform have been removed from our systems. You can learn more about privacy here: https://support.joindrop.com/hc/en-us/sections/203798627-Terms-of-Service-Security-Privacy Thanks :)",2020-02-26 14:46:44
gp:AOqpTOE58G8NiYs_2xddSLz2DQEK8ewRhJx8NxAy3MSCVPpqIXgTIiFygWCgIcgN0oHG1RTmh6sEXeOzCPeulZU,Imran Juma,https://play-lh.googleusercontent.com/a/AATXAJz8K66oAhZJHneIC7350jGGcQ0TSESbFN8eVW1b=mo,New to the app but so far it's been great! Customer service is super helpful and I'm looking forward to all the perks that this app has. My wife uses it religiously and swears it's a game changer! The notifications that you receive are good reminders when there are increased perks to take advantage of!,5,6,1.45.0,2019-12-03,"Thanks for your kind words! We’re really excited to help you level up your life, and enjoy those rewards!",2019-12-04 15:44:10
gp:AOqpTOFmGGZshp0zryLTqaO0oTmz7gKTidUPZ4N0D9RULWvtAklRgWBYSb5WbhiqsVOyvh2Jd8hvFGnKLeKSMsE,Danielle Bielawski,https://play-lh.googleusercontent.com/a-/AOh14Gg8nu2d9pk_KjxxDTfWKRy5IgPQR5QJ-fcplvoP,"EDIT: To add on to how terrible they are, I got a customer service response stating ""I am sorry you feel that way"" in response to the length of time it was taking to resolve a problem. They have been having a card linking issue for my institution for over 8 months now with the solution of ""keep trying to link in a couple days"" or ""try again in a couple weeks"". It was great when I first downloaded the app but now it is just useless.",1,11,1.27.0,2019-04-25,"Hi Danielle, I completely understand your frustration. We unfortunately have no control over which institutions our service providers choose to support and not to support. Though with reviews like these, we do give them a nudge to try and restore this connection. Your institution is on their radar, they are working on getting it restored!",2019-05-01 13:14:35
gp:AOqpTOEZ5S4KHYjQNrVaImlBndYb6Ai4LuNGQMjKKq7kZIbOeRLMEiX2iyQJ7_xgLcaB0DL_ATIFKa9jOIxO2w4,Kawthar Zaman,https://play-lh.googleusercontent.com/a-/AOh14GiJvsMjkg37v94ELPNot9KOBS8dBWckiqyzvFNOvQ,This is a legit app but surveys sometimes end all of a sudden and full points are not given.,4,0,1.85.0,2021-11-05,nan,NaT
gp:AOqpTOG82DkgiDXGRTH-WojMbtuV157ltteBSWMZIXH6E24oF5_E_qYCglRuqhh8Erf1GZwz3ofDa85DGCZUSbI,The Catacombz,https://play-lh.googleusercontent.com/a-/AOh14Gj0IEQNZ5_5mB5k4dOJzTVvItwVy8Fgtyf1Ncv1,"Drop sucks now. Last month they took away everything useful for offers and replaced it with random garbage & games. Bring back eBay, Amazon and Walmart. On top of that I've sent support a screenshot of Apple purchase 3x since Feb. & still haven't been given the missing points.",1,1,1.58.1,2020-05-21,"Hey there, our eBay offer is only temporarily paused. Keep your eyes peeled for its return! Amazon and Walmart are still active offers and have come up recently as Flash Deals. For your missing points, we'd love to look into this for you! Please reach out to supper@joindrop.com and be sure to reference this review so we can take a look. :) Thanks!",2020-05-25 15:37:56
gp:AOqpTOHTor3igwpTUexwDEmeltlru4jEIGaC5xAympLl6AOkN5cZ74vZQKNMj8-pMPSGrZkmqyzosxC5OqnblH4,L N,https://play-lh.googleusercontent.com/a/AATXAJyQ-OuvOdCowW38gGfyCTwDT379dBLzoBFqh4jT=mo,Easy to use app. Lots of places to shop from to get points. Recently had missing points but the support I received from Jordan was really helpful and they were able to find and adjusted the points for my account. Love the app!,5,1,1.58.1,2020-06-18,Hey Linda! So glad to hear that you had a great experience with our support team. We're always here if you need us. :) Hope you have a great day!,2020-06-22 15:32:40
gp:AOqpTOEsZ6ShzMVXugLP_HKRlHgzLPlpz8G1u83JIIALNkbDgDWR989xszRdVZgqstzz1PPziz1Pw6uxr5QOiSY,Alana yeung,https://play-lh.googleusercontent.com/a/AATXAJx_tduy9sORuasuIMdsSkQ5YlzTbQikZwAPLIQ=mo,Glitch app... I would sign up for offer and not get the points... Or forward the link to email so I can purchase things on my desktop and not get the points... So i would say 7 out of 10 times you will get your points... Just that 3 times you wont.... There is no way of tracking if you actually click the link and they logged it either...,2,10,1.71.1,2021-02-02,nan,NaT
gp:AOqpTOFlc8bVWK5wCDPFtacpUIfBbnn1s6aVsmOpHaFiL44qSdgZDmSG3L6ws2MIyPWREIMZjMPEE4063IXGBr0,Karah Anglais,https://play-lh.googleusercontent.com/a-/AOh14GgZFqxFj2dCFhUxGJrMFio0VQmL4hfJdEQVQ2PsSPE,"I'm only signed in on my phone. I'm not able to sign in on my tablet. I tried the ""sign in with Facebook"" link and it refused. I'm very mad and am in tears inside. I'm not able to sign in on my tablet. I used my hotmail and wrote everything right but it kept saying ""login token not valid"". Please fix and update this app right now so that I can login with hotmail or use the Facebook sign in link to get in my drop account or I will, remove this app. FIX THIS NOW",1,5,1.39.0,2019-09-26,"Hey Karah,

Thanks for letting us know!

For the best user experience, we would suggest using the app on a smart phone. We are also releasing newer versions of the app on a regular basis so we encourage always updating to the newest version which may solve the problem! 

Thanks for being a Drop member!",2019-10-04 10:23:07
gp:AOqpTOG-ee2zJONJD2-lA7-ZbuiuXZbOPBJJ6NW7Azil-3Q49udlaDUnFWZKt5cBGt4isyfMDi0gT7lrX9TUgNg,Danielle Shirton,https://play-lh.googleusercontent.com/a-/AOh14GikGog1W-h9qu4mK5GysHuIvhw_jNLwyhWmczksfw,I've had the app for a while hit 10k points expecting to be able to get something and there are only $30 gift cards available now.. so it's not really worth it if it's going to take me 3x as long to get any sort of reward. What happened to the $5 and $10 rewards?,3,1,1.39.0,2019-11-19,"Hey Danielle, we’re really sorry to hear you’re having a bad experience with us. We know it can be really frustrating when things change in the app. 

If you'd like to reach out to us at support@joindrop.com, we can go over how to unlock the rewards under $30.
Hope you have a great day!",2019-11-19 17:35:52
gp:AOqpTOEXiRmJO5pNOnYdezn20N4ubJZcQwCfYmLB74Ak26NFrAT3N9KiUtAC8E5oO0W1zVpE5hFi8JI7C7PC3fY,anant rao,https://play-lh.googleusercontent.com/a-/AOh14Gha5alTNb2LC_bN79JudoIaLpUqEQJ94-E7tRFO2g,very bad experience! app is slow you exit on 2 back presses. for no reason i feel as a user. plus the support is really bad. been trying to redeem 20$ for almost a month and it always fails. i open a ticket n I get an automated reply. where as other app like Paytm are pretty fast in response.,1,1,1.38.1,2019-08-11,nan,NaT
gp:AOqpTOFOoZYcAol-2ypeqSEThYTvgYoEmxwhgP01UnW13MkBONzrdcJMCb0hC7ull2iNkSWbWcVMXV83JwohAxA,Sandeep Kainth,https://play-lh.googleusercontent.com/a/AATXAJy3hFOqjFiaK9TfmVddFvHFoUF2eouldzWvXlPT=mo,"Takes forever to link your phone number, attempted twice had to quit both the times. Added two cards none of them work. Relinking them again doesn't work, unlinking cannot be done until a phone number is linked with the account. Useless pretty much",2,1,1.27.0,2018-12-06,"Hi there! We'd love to look into this with you so that we can find out together what we need to do to get you back on track! Please email support@earnwithdrop.com,  so that we can investigate this together!",2018-12-11 11:03:39
gp:AOqpTOFMSvW2UQZTWogolK5cfIMkJwG2ngk-fd1z2fdlYXKTnLLnB-8RYD5zQXip2qpQzQ6UWtMQadf5tq_QAKw,Nicole Henson,https://play-lh.googleusercontent.com/a/AATXAJyh93f_oh9oB7lrb5xv2KzUDIQDN39vQuvvi_Tr=mo,I have recieved any points from purchase in the last 4 months. It used to work for all my power up offers but nothing applies anymore. Tried to start a ticket with customer service but no one has reached out to me.,1,3,1.34.0,2019-07-03,nan,NaT
gp:AOqpTOE7AKlM8PGnXCvbTAsvP9txQIWnr6p1zUqpdfPd82_ZSXS5Fxr0RHkfBQ8NoTqxDNyggofGVyOnNdCtfl4,Carly Stallwood,https://play-lh.googleusercontent.com/a-/AOh14GjH3BxtnLRwQr1kXkWgiLYt16E7KnBfNrlk8pX2zQ,Use this app all the time when I shop online. Have redeemed points multiple times with no issue. If points aren't awarded within a month or two I send them a message and they fix the issue asap! Wish the flash deals would re-up a bit more often but other than that its great :-),5,1,1.66.0,2020-11-06,"Hey Carly, thank you so much for your kind words! We’re really excited to help you level up your life, and enjoy those rewards!",2020-11-10 15:26:01
gp:AOqpTOFmDp5ApqOWkxcccHJeOREXjOSD_qX-xoPUWct5W_QOQlWBGkKSvfsu8OhLXqUGagmwKp1X_0JmuBE5wJM,Ryan Hogenes,https://play-lh.googleusercontent.com/a-/AOh14Ghrq_ZOGbbIJIqLvVjgXnbT42A0gEIPnx34He5eXVQ,Worked good until they lost their connection with MBNA. It has been over 6 months and they still cannot connect to my credit card.  A fix really should not take this long. Disappointed.,2,1,1.27.0,2019-04-02,"Hey Ryan, unfortunately we don't control which institutions our service providers choose to to support. I apologize as I know this is frustrating to hear and I wish there were more we could do! :(",2019-05-13 14:49:32
gp:AOqpTOFA6tAZjksip6VVaF1I37I8VCFzDxzIoMHZuxwTJm92ArdKQexFE9atC3cxyeZKG9BOEnat5EtdNWVgn_4,Shazad Valliani,https://play-lh.googleusercontent.com/a-/AOh14Gg7mQqjunuXfv78lKHS2xCH0n_jFZz3RgvJL-Di2g,"Used to love this app been using it since it was new. Now it is ridiculous, I used to earn points without worrying now if I shop somewhere that used to be on my account, its not there.. old was better then new.",1,2,1.64.0,2020-10-06,"Hey Shazad! We’re excited to introduce Flash Deals, the takeover of Power Offers, designed to feature brands we know you’re going to love. Similar to Power Offers, you’ll shop with a linked card. For more info, please submit an in-app support ticket (profile at the top left of the app, then ""get help"") and reference your review. Thank you!",2020-10-20 11:58:43
gp:AOqpTOG8nu-UCqQc_EITqZWX4MpQZJJ7yhJ13WpvXS7lpMl_Lp1BFbPTT-eXVT2GuQqqv7ItFtRxsnDmBaEjXaM,Colby Briggs,https://play-lh.googleusercontent.com/a-/AOh14GgJQGHsQ4s0tUv_5ZK0G-m6L-W11ZWCwP1QJE1iHkM,"It's glitches half the time, offers are often garbage, and customer service is non existant. They'll comment on this with an email that they never check. They've ignored 11 emails over a three month period! In app customer service only supports algorithm support.",1,8,1.78.0,2021-05-15,nan,NaT
gp:AOqpTOFTAx07gyZtRhCkIU8jtxNQeUiue1z-HzHbgNii9oKhTwSr1O1bQDDjU7kKE7bKPQG5EmXx6ro48xRuksE,Nitesh Dulal,https://play-lh.googleusercontent.com/a-/AOh14GgYX6lPDU9kaalFGT6V3djdQhBpch9Kg8mV3z6gLA,"I have signed up for an offer and spent substantial amount of money but it's been 3 weeks, no points yet. I tried reaching out to their support like 2 times via the app no response at all. Looks like a scam just to get people signed up on their partner brands. Looked like a promising app but fails to deliver.",1,1,1.49.0,2020-01-19,"Hey Nitesh, we’re really sorry to hear you’re having a bad experience with us. Some offers have a longer grace period which is normal. If you would like to send us a message, including this username or a reference to this review, at support@joindrop.com we would love to hear more about this!",2020-01-21 16:09:59
gp:AOqpTOHiPFuFGFLrJx9SeHgUvu03WwteAgDplEeBf_gTVC1eeXaN7ZPvYtrhY6ANqp8prkGMk0R6jh0YjGKBm-w,Caroline W.K.S.,https://play-lh.googleusercontent.com/a-/AOh14GhmkFzlo7K-srYIKxzjzSguS9rv1kbs8g_rda42Sg,"Love this App! I use to shop through Rakuten for the last few years and switched to Drop this year to test if the outcome would be more rewarding and, I have been using Drop ever since lol! Plus their customer service is on point! Any issues we're quickly resolved and in a very friendly manner. A+++",5,0,1.47.0,2019-12-18,"Amazing! Thanks for being a Drop member! So glad to hear that you had a great experience with our support team. We're always here if you need us :)
Hope you have a great day!",2019-12-19 14:55:59
gp:AOqpTOGmSmxGKQtm4NV227BHyGUtJ9xXPtEZhl4mF3HplQwHmnSKw4kzNWqwZmDXZN1T8O4M2iDU64JbomLljk0,Albert Mallia,https://play-lh.googleusercontent.com/a/AATXAJxgqYXe_T8vehcCHUkeKyLQNy228dULN_BaBbRd=mo,"Excellent app, offering rewards on many items and necessities. Customer service is very helpful. Had a transaction for which points were not awarded, and upon emailing them they ensured I received those points promptly.",5,0,1.57.0,2020-04-18,Hey Albert! So glad to hear that you had a great experience with our support team. We're always here if you need us. :) Hope you have a great day!,2020-04-30 16:43:21
gp:AOqpTOE_APkpIK8gJrX9bAAJxgDw2W52ri0dtNZXs4zOdbLEcz6lGbT0t3vQnzQnN-E02mWQ9jH5GPu48mm8V1E,Carolynn House,https://play-lh.googleusercontent.com/a/AATXAJwotrZnaDhXtM86YP7YWT0nKRSNlYDUAs1NFIT6=mo,I selected Tim Hortons but when I go to look for it on the app it doesn't have it... Gives you the option to pick it but doesn't show it now sure how this app works but not a fan of linking a card to it with out having to purchase anything I feel it's to get info for pols accounts or cards and use it with out them knowing.....,2,1,1.27.0,2018-10-24,nan,NaT
gp:AOqpTOErFQVEy3M_3YcX7H2-9MoVddr3Kkv660SnsO1siVgm4kdvmC8c7OweyZavPtd9eukaywAO16Rt8x1f63A,Katherine Taylor,https://play-lh.googleusercontent.com/a/AATXAJyGyGd-hsIvae34CnZFzoicJylrmF9qg-bl7Cmd=mo,"Garbage: as I said in my review 07/07/2020 - Apps flicker in and out! Attention Tech! -UBER EATS IS NOT THERE! again, yesterday at dinner time and today at dinner time. NO UBER EATS! I think they are just trying to fake out of points now with people still in Quarantine. No points during dinner time. I took screen shots to show that yet again, no Uber Eats on the Drop app at dinner!",1,0,nan,2020-07-21,"Hi Katherine, if you can reach out to our support at support@joindrop.com, we can explain what's going on with the Uber Eats offer. Please be sure to also reference your review to help us keep track. Thanks, and looking forward to hearing from you.",2020-07-23 15:17:25
gp:AOqpTOHIoDScNNg750_E30kuXyxNy6BW9rUfdinr4h10FIrHrUwMQq_NPPll03aCgDVxQ9NDBy4KLO44Q7u1ftU,Minecraft Momma,https://play-lh.googleusercontent.com/a-/AOh14GhPDz010quOoIaJU8RgrTj1rWM8R2K1jdUi5qyx,Exceptional customer service! I have been using drop for almost two years now and ran into my first problem. I contacted drop through Facebook and recieved very professional help. The problem was resolved AND I was given an additional amount of points because they are awesome! Thank you so much drop for making my experience easy 😊,5,80,1.34.0,2019-05-29,"Hey there, you're most welcome! So glad we were able to help you out. Thanks so much for your great review! Don't hesitate to reach out if you ever need help or have any more questions for us. :) Cheers!",2019-06-10 15:03:21
gp:AOqpTOExc4mOh15qNEN5n85zWo50k5ju4xc1uJ-NiNpIsd6NRjBJCHeLHaCICChmDdnGg8vZXB7QxOFyaQxzw1c,Tania Orou,https://play-lh.googleusercontent.com/a-/AOh14GjnS77ZOGeij4Kv39Hg1xhUejNb64izaU7Hc1LVSRA,"Absolutely horrible. Heard about it through the Philip the Franko show decided to download it. MAN does it suck. First of all I tried linking my card like 100 times with no luck. Keeps sending me back to the link page. Then tried to contact customer service and like others say they are none existing. No one had replied back to me, it's been more than a week. So Philip if you reading this lol do your self a favor and don't mix your name with such incapable company.",1,0,nan,2019-11-03,Hey Tania! We know it’s frustrating when things don’t work as they should. We’ll be happy to take a closer look at this one if you would like to reach out to us at support@joindrop.com and let us know a little more about the issue. Hope you have a great day!,2019-11-05 12:09:49
gp:AOqpTOHdDynpy8K0wGkOTp4Gv8K3VJVvwcUzkyumz4Gka9MXaMrRGaxTl27EQudZFp7YHq6KMX_0v0VgyqNpAUs,angela yeung,https://play-lh.googleusercontent.com/a/AATXAJwxGxqXlX1j9_Nd_zMSVjCy8ZDtEGKE9cBU4gK6=mo,"Great concept especially since earning points is not just by shopping. Earn point through games and surveys as well. Sometimes the app is laggy so have to close the app and restart but other than that, liking it a lot.",4,2,1.66.0,2020-11-26,"Hey Angela, thanks so much for the feedback! Our engineers are always working on making the app a smoother and faster experience for our members. We appreciate your patience while we work these things out! Hoping we can turn this into a 5-star experience. If you have a recurring issue, we'd love to hear about it at support@joindrop.com. Thanks! :)",2020-11-27 15:09:53
gp:AOqpTOFBX5YQfRYIGuPR4ihwV-M1yBk2JLaUHTANz3KDVsKvp8lMSMdoApN6H43XsZh7grz6e5YGUqbvB1Q2pxc,markaged,https://play-lh.googleusercontent.com/a-/AOh14GhrmR07rx38LERudR9Q8x_NlBSnSRBUNtAZJMNQ,"You can earn free points every day for playing games, and redeem them for Amazon giftcards (and others!) I literally get .11-15¢ every single day from this app. There's easy to use cashback offers every couple weeks, a free prize wheel you can spin once a week with a recent update, it's literally free money! Which isn't supposed to be something that exists, but here it is!! (edited & updated to farther justify my 5-star rating, because there is way too many undeserved 1-star reviews on this app)",5,4,1.66.0,2020-11-24,"Hi again, thanks so much for your kind words! We’re really excited to hear you've been having a great experience with Drop thus far. If you ever need any help, please feel free to reach out to our support team through the app, we'd be happy to lend a hand! :)",2020-11-27 15:43:38
gp:AOqpTOHlmICIL28Gk1s9YD1-_Sf7wUsFIYyeQfo-Me7mArM3ZcaTtUs4nBxp0cdHmGBzRA-LDHbszV5KRq2k_i0,Kaye Puhakka,https://play-lh.googleusercontent.com/a-/AOh14GgovnTICzRDuI1bKe1ekRz7Bcw_Z6ZOFB2vF0EZ0g,"Dont get the points they promise when shopping through app, and they keep raising the minimum redemption amount. It used to work 2 years ago, but essentially useless at this point as theyve made it more and more complicated",1,0,1.57.0,2020-04-25,"Hey Kaye! Oh no, that sounds like something we should look into for you! Could you please send us an email to support@joindrop.com? If you reference your username here, or this review, that will help us make sure we have all the information to get started on investigating this. Hopefully, we can straighten everything out!",2020-04-30 17:07:47
gp:AOqpTOGw_7FOEtHe-yVviXO4wrLv1R3kfgcYrFS65Yns_6_rVCxZKvgMQD1vOpcOCRje8wet3aZ3bxsOYmnyM0E,Yasmin Gamea,https://play-lh.googleusercontent.com/a-/AOh14Gj8zrcJyhk0TyI8l9NdtczvxVlpHsLcGvnxfcmty0w,"It's been couple of months and Drop hasn't sorted out the bank relink/connectivity issues with Bank of Montreal. I have a good amount of points getting all dusty, and Drop can only offer consistent apologies and an indefinite deadline in getting this fixed. Why am I waiting!?",2,0,1.27.0,2018-11-26,"Thanks for dropping us a line! While we try (and want!) to support all financial institutions, our providers haven't partnered with your preferred bank yet! We are unable to support some institutions due to the amount of issues our members experience in card linking, and it means the world to us for you to have the most seamless experience!",2018-11-30 12:53:15
gp:AOqpTOHVU7eBi7GMyeTDxEkwJJSWTl4qNRLv30ywMKEACLF85ckwAGnip3_gbej8_wvykeYzz6HNQYZ_pXWjj98,Derrick Tam,https://play-lh.googleusercontent.com/a-/AOh14GinMyaJqHYxq6HEkqImFQ-MvVN4eFoJm-atUGUjrsc,Great looking app. Some minor slow down at times. However it does not let me turn off 'Offer Reminders' notifications. Everything other notification can be turned off except that one for some reason.,2,4,1.27.0,2018-10-13,nan,NaT
gp:AOqpTOFPSxhlflES4f0_zfjzdx4uJICvElNELoUuVcPf0o6B1y1b8oMtNK0xtJHRw4uuQoBr_K0yS3al2V8IhYs,Janet Vu,https://play-lh.googleusercontent.com/a/AATXAJydsAn3FEqdTNI9gRraQfuKGc2YTyjTYsHa6P9eQJA=mo,"This app was not as great as it used to be, now the app is SO slow and does not opening anything that I need. I also cannot view my points log. The app also says I have 19 notifications, but there is nothing to see.",1,1,1.62.0,2020-09-08,nan,NaT
gp:AOqpTOEyG1IAX9MCWmP7r_vqzQXnp5EjMXyuZDbxc1F8AIz7Tpa0mOipesfyKxPTwvEWMLmHGlQnAHFNLK9Yhjo,Young Jedi,https://play-lh.googleusercontent.com/a-/AOh14GiMuDPzvgOOeBWNnyvKUUEH4_hT626ctCLqjY4Byw,This application may be under better name would be better connecting through ability to connect this difficult it seems to be unchanged for quite a while good if you like local restaurants and stay suburban watch out for rear end of local mall I suppose unless people forget how to be in right area lawyer zone look for work urinalysis mandatory be good or go to school find temp job help a neighbor try not to hurt anyone sell lemonade,2,0,nan,2020-11-13,nan,NaT
gp:AOqpTOERQWmftHIsD1mZDPmovwzmcAbL2y8swxNvCLjTBaESdAX2Z9v706gh492QrGR0W4iwyX8mHeMQdDDqedk,Britney Sang,https://play-lh.googleusercontent.com/a/AATXAJwDjfpfXZyacrxe-rKIRWPnNHWNLQ7THAe1IFc2=mo,I liked this app when I first started using it. But then I ran into an issue with missing points. I logged 2 tickets and never heard back from anyone. I'm looking for someone to contact but their website is the worst. HOW DO I GET HELP.,2,1,1.44.0,2019-11-13,"Hey Britney, really sorry to hear you've had a hard time reaching us. Could you please send us an email to support@joindrop.com? Hopefully we can straighten everything out!",2019-11-14 14:26:05
gp:AOqpTOGqFo_yeKtLmQPVZmSX1KQR0-GpOcgdW4yJabeEM-obIhopXGHlGwh8euv1H-Xba4c2Ya4h5MPQYse0_yc,Diya Burman,https://play-lh.googleusercontent.com/a-/AOh14GhAJGbFMJiB12jsD-EzHUkiIKEmTjg5HKEx8pF53A,"Wow, couldn't even link my credit card(Scotiabank). Saw the app trying to authorize my credentials for over 5 minutes each time and I tried 3 times before giving up. Seems like the Apple app is fine but the android app just sucks.",1,2,1.77.0,2021-04-23,nan,NaT
gp:AOqpTOGzMbEXD3UlosU1ir7flB11ZMQ_dJBOnD5iXp7QiTmJ3b5ZNkkcM8E2LDrsDp6CW3sS2MgtFP7AN8UNHRM,Randy Marsh,https://play-lh.googleusercontent.com/a-/AOh14GhMioGM-PNreHwmcl9ifHeGoOiTDTuubbhCt4NirQ,"Worked great at the beginning, now none of my cards will link. Probably nothing to do with the app or the Dev, and probably everything to do with preventative security measures, but I can no longer earn points because drop will no longer link to my cards.",1,4,1.27.0,2018-10-25,nan,NaT
